Reference,MPN,Footprint,Pin,Function,Expected net,Pad X mm,Pad Y mm,Pad width mm,Pad height mm,Manufacturer source
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,23,VDD33,ISO_3V3,2.775,0,0.9,0.28,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,24,SCL/SMBCLK/CFG_SEL0,HUB_SCL,2.775,-0.5,0.9,0.28,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,25,HS_IND/CFG_SEL1,HUB_CFG1,2.775,-1,0.9,0.28,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,26,RESET_N,HUB_RESET_N,2.775,-1.5,0.9,0.28,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,27,VBUS_DET,HUB_VBUS_DET,2.775,-2,0.9,0.28,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,28,SUSP_IND/LOCAL_PWR/NON_REM0,EXT_SELECTED,2,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,29,VDDA33,ISO_3V3,1.5,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,30,USBDM_UP,HUB_UP_D-,1,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,31,USBDP_UP,HUB_UP_D+,0.5,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,32,XTALOUT,HUB_XO,0,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,33,XTALIN/CLKIN,HUB_XI,-0.5,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,34,PLLFILT,HUB_PLLFILT,-1,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,35,RBIAS,HUB_RBIAS,-1.5,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,36,VDDA33,ISO_3V3,-2,-2.775,0.28,0.9,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
U11,USB2514B-I/M2,hub-lib:Microchip_SQFN36_6x6mm_EP3.7mm,37,VSS,GND2,0,0,3.7,3.7,https://ww1.microchip.com/downloads/aemDocuments/documents/UNG/ProductDocuments/DataSheets/USB251xB-xBi-Data-Sheet-DS00001692.pdf
Y2,ABM8G-24.000MHZ-18-D2Y-T,hub-lib:Crystal_SMD_3225-4Pin_3.2x2.5mm,1,1,HUB_XO,-1.1,0.85,1.4,1.2,https://abracon.com/Resonators/abm8g.pdf
Y2,ABM8G-24.000MHZ-18-D2Y-T,hub-lib:Crystal_SMD_3225-4Pin_3.2x2.5mm,2,G,GND2,1.1,0.85,1.4,1.2,https://abracon.com/Resonators/abm8g.pdf
Y2,ABM8G-24.000MHZ-18-D2Y-T,hub-lib:Crystal_SMD_3225-4Pin_3.2x2.5mm,3,3,HUB_XI,1.1,-0.85,1.4,1.2,https://abracon.com/Resonators/abm8g.pdf
Y2,ABM8G-24.000MHZ-18-D2Y-T,hub-lib:Crystal_SMD_3225-4Pin_3.2x2.5mm,4,G,GND2,-1.1,-0.85,1.4,1.2,https://abracon.com/Resonators/abm8g.pdf
C32,GCM1555C1H270JA16D,hub-lib:C_0402_1005Metric,1,,HUB_XO,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GCM1555C1H270JA16%23
C32,GCM1555C1H270JA16D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GCM1555C1H270JA16%23
C33,GCM1555C1H270JA16D,hub-lib:C_0402_1005Metric,1,,HUB_XI,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GCM1555C1H270JA16%23
C33,GCM1555C1H270JA16D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GCM1555C1H270JA16%23
C34,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,HUB_CRFILT,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C34,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C59,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,HUB_PLLFILT,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C59,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C35,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C35,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C36,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C36,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C37,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C37,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C38,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C38,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C39,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C39,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C40,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,1,,ISO_3V3,-0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C40,GRM155R71H104KE14D,hub-lib:C_0402_1005Metric,2,,GND2,0.48,0,0.56,0.62,https://www.murata.com/en-global/products/productdetail?partno=GRM155R71H104KE14%23
C41,GRM188R61E475KE11D,hub-lib:C_0603_1608Metric,1,,ISO_3V3,-0.775,0,0.9,0.95,https://www.murata.com/en-global/products/productdetail?partno=GRM188R61E475KE11%23
C41,GRM188R61E475KE11D,hub-lib:C_0603_1608Metric,2,,GND2,0.775,0,0.9,0.95,https://www.murata.com/en-global/products/productdetail?partno=GRM188R61E475KE11%23
