Parent reference,MPN,Manufacturer,Quantity,Source,Assembly note
SH1,BMI-S-201-C,Laird Performance Materials,1,https://www.laird.com/products/custom-precision-metal-stamping-emi-non-emi/board-level-shields/two-piece-board-level-shields/bmi-s-201-f,Removable frame cover; order separately
SH2,BMI-S-209-C,Laird Performance Materials,1,https://www.laird.com/products/custom-precision-metal-stamping-emi-non-emi/board-level-shields/two-piece-board-level-shields/bmi-s-209-f,Removable frame cover; order separately
